country,points,price,variety
Greece,89,24.0,White Blend
Spain,89,17.0,Sparkling Blend
Greece,89,21.0,Assyrtiko
Greece,89,18.0,Malagouzia
Chile,89,20.0,Carmenère
France,89,20.0,Bordeaux-style Red Blend
US,89,24.0,Sangiovese
Spain,89,44.0,Tempranillo
Chile,89,19.0,Red Blend
US,89,42.0,Bordeaux-style Red Blend
US,89,35.0,Pinot Noir
Spain,89,44.0,Tempranillo Blend
US,89,16.0,Syrah
US,89,23.0,Viognier
US,89,36.0,Pinot Noir
Italy,89,25.0,Red Blend
Italy,89,22.0,Red Blend
Portugal,89,20.0,Touriga Nacional
US,89,25.0,Chardonnay
US,89,42.0,Pinot Noir
Chile,89,30.0,Cabernet Sauvignon-Cabernet Franc
Greece,89,17.0,Agiorgitiko
US,89,49.0,Pinot Noir
France,89,16.0,Rhône-style Red Blend
Spain,89,30.0,Tinta de Toro
Italy,89,40.0,Sangiovese
Italy,89,57.0,Red Blend
US,89,29.0,Cabernet Sauvignon
Chile,89,61.0,Red Blend
US,88,25.0,Chardonnay
US,88,25.0,Syrah
US,88,49.0,Pinot Noir
US,88,20.0,Picpoul
Argentina,88,26.0,Bordeaux-style Red Blend
US,88,34.0,Bordeaux-style Red Blend
US,88,38.0,Zinfandel
US,88,38.0,Zinfandel
Spain,88,25.0,Godello
Spain,87,22.0,Red Blend
Argentina,87,15.0,Malbec
France,87,20.0,Bordeaux-style Red Blend
France,87,25.0,Bordeaux-style Red Blend
France,87,20.0,Bordeaux-style Red Blend
France,87,20.0,Bordeaux-style Red Blend
France,87,25.0,Bordeaux-style Red Blend
US,87,10.0,Chardonnay
US,87,18.0,Malbec
US,87,18.0,Chardonnay
US,87,14.0,Riesling
US,87,14.0,Riesling
US,87,40.0,Cabernet Franc
France,87,18.0,Bordeaux-style Red Blend
France,87,20.0,Bordeaux-style Red Blend
US,87,10.0,Gewürztraminer
US,87,11.0,Merlot
US,87,36.0,Cabernet Sauvignon
US,87,20.0,Cabernet Franc
US,87,32.0,Grenache
Spain,87,18.0,Sparkling Blend
Portugal,93,55.0,Portuguese Red
Italy,93,49.0,Nebbiolo
US,93,50.0,Zinfandel
Italy,93,58.0,Nebbiolo
France,93,39.0,Riesling
France,93,65.0,Riesling
Morocco,93,35.0,Syrah-Grenache
Italy,93,80.0,Nebbiolo
France,93,42.0,Riesling
France,93,61.0,Riesling
US,93,58.0,G-S-M
US,93,38.0,Mourvèdre
France,93,48.0,Riesling
US,93,50.0,Zinfandel
Italy,93,58.0,Nebbiolo
France,93,120.0,Bordeaux-style White Blend
US,93,50.0,Syrah
US,93,80.0,Cabernet Sauvignon
US,93,40.0,Syrah
Portugal,93,41.0,Portuguese Red
US,93,48.0,Cabernet Sauvignon
US,93,200.0,Cabernet Sauvignon
US,93,39.0,Petit Verdot
US,93,62.0,Cabernet Sauvignon
Italy,93,43.0,Nebbiolo
France,92,35.0,Riesling
France,92,48.0,Riesling
France,92,55.0,Riesling
Portugal,92,40.0,Portuguese Red
Italy,92,69.0,Nebbiolo
France,88,16.0,Bordeaux-style Red Blend
France,88,16.0,Bordeaux-style White Blend
France,88,15.0,Bordeaux-style Red Blend
France,88,13.0,Bordeaux-style White Blend
US,88,28.0,Chardonnay
US,88,36.0,Pinot Noir
Romania,88,9.0,Rosé
US,88,24.0,Chardonnay
US,88,30.0,Rhône-style White Blend
US,88,25.0,Merlot
Italy,88,34.0,Nebbiolo
US,88,60.0,Pinot Noir
US,88,54.0,Pinot Noir
US,88,15.0,Muscat
Italy,88,56.0,Nebbiolo
US,88,20.0,Sauvignon Blanc
US,88,61.0,Pinot Noir
Italy,88,46.0,Nebbiolo
Spain,88,30.0,Tempranillo
Spain,88,17.0,Tempranillo Blend
US,88,40.0,Cabernet Sauvignon-Merlot
US,88,39.0,Red Blend
Italy,88,49.0,Nebbiolo
France,88,23.0,Sauvignon Blanc
US,88,16.0,Pinot Grigio
US,88,32.0,Mourvèdre
US,88,18.0,Chardonnay
Argentina,88,15.0,Cabernet Sauvignon
France,92,92.0,Pinot Noir
France,92,94.0,Chardonnay
US,92,58.0,Chardonnay
US,92,50.0,Rhône-style Red Blend
US,92,48.0,Sparkling Blend
US,92,32.0,Pinot Noir
Italy,92,27.0,Pinot Bianco
Portugal,92,35.0,Alvarinho
Portugal,92,95.0,Portuguese White
US,92,43.0,Pinot Noir
Italy,92,33.0,Garganega
Italy,92,60.0,Sauvignon
France,92,30.0,Bordeaux-style Red Blend
US,92,100.0,Cabernet Sauvignon
US,92,35.0,Syrah
France,91,60.0,Chardonnay
France,91,16.0,Bordeaux-style Red Blend
France,91,40.0,Chardonnay
US,91,60.0,Pinot Noir
France,91,100.0,Pinot Noir
Portugal,91,18.0,Touriga Nacional
US,91,16.0,Pinot Gris
US,91,42.0,Syrah
US,91,20.0,Pinot Noir
Italy,91,25.0,Sauvignon
Italy,91,23.0,Pinot Grigio
US,91,38.0,Pinot Noir
US,91,32.0,Zinfandel
US,94,60.0,Syrah
US,94,30.0,Riesling
Italy,94,85.0,Red Blend
US,94,30.0,Riesling
US,94,65.0,Pinot Noir
New Zealand,94,57.0,Chardonnay
US,94,90.0,Pinot Noir
US,94,85.0,Pinot Noir
US,94,70.0,Pinot Noir
US,94,70.0,Pinot Noir
US,94,60.0,Pinot Noir
Italy,94,38.0,Garganega
Italy,94,29.0,Garganega
US,94,155.0,Cabernet Sauvignon
US,94,48.0,Pinot Noir
US,94,95.0,Cabernet Sauvignon
US,94,80.0,Sparkling Blend
US,94,49.0,Pinot Noir
France,94,35.0,Tannat-Cabernet
US,94,50.0,Syrah
France,94,44.0,Provence red blend
Spain,94,68.0,Tempranillo Blend
France,94,20.0,Rosé
US,94,95.0,Cabernet Sauvignon
France,94,44.0,Provence red blend
Argentina,94,50.0,Cabernet Sauvignon
France,94,100.0,Rosé
France,94,70.0,Malbec
US,94,63.0,Chardonnay
Italy,91,75.0,Nebbiolo
Germany,91,23.0,Riesling
US,91,50.0,Cabernet Sauvignon
Spain,91,22.0,Albariño
US,91,45.0,Sauvignon Blanc
Portugal,91,130.0,Alicante Bouschet
US,91,38.0,Rhône-style White Blend
US,91,30.0,Pinot Noir
US,91,22.0,Syrah
Italy,91,90.0,Nebbiolo
US,91,60.0,Cabernet Sauvignon
Italy,91,115.0,Nebbiolo
US,91,55.0,Pinot Noir
Portugal,91,30.0,Rhône-style Red Blend
Portugal,91,14.0,Aragonês
US,91,48.0,Chardonnay
US,91,40.0,Chardonnay
Germany,91,39.0,Silvaner
Italy,91,60.0,Nebbiolo
US,91,50.0,Chardonnay
US,91,48.0,Pinot Noir
France,91,54.0,Chardonnay
Portugal,91,42.0,Portuguese Red
US,91,50.0,Sparkling Blend
Israel,91,40.0,Cabernet Sauvignon
US,91,40.0,Chardonnay
US,91,42.0,Pinot Noir
Italy,91,85.0,Nebbiolo
Spain,91,32.0,Tempranillo
US,90,41.0,Red Blend
US,90,27.0,Ugni Blanc
US,90,29.0,Grüner Veltliner
France,90,33.0,Pinot Noir
France,90,70.0,Pinot Noir
US,90,19.0,Pinot Noir
Italy,90,22.0,Frappato
Germany,90,25.0,Lemberger
France,90,27.0,Sylvaner
France,90,22.0,Chasselas
France,90,30.0,Alsace white blend
US,90,15.0,Pinot Gris
US,90,45.0,Pinot Noir
France,90,80.0,Pinot Noir
US,90,18.0,Albariño
Italy,90,19.0,Greco
Germany,90,31.0,Riesling
US,90,15.0,Cabernet Sauvignon
US,90,15.0,Cabernet Sauvignon
US,90,24.0,Merlot
US,90,80.0,Red Blend
Spain,90,35.0,Tempranillo
Germany,90,40.0,Früburgunder
Spain,90,28.0,Tempranillo
US,90,50.0,Cabernet Sauvignon
US,90,28.0,Cabernet Sauvignon
US,90,36.0,Rhône-style Red Blend
US,90,40.0,Cabernet Sauvignon
US,90,50.0,Chardonnay
US,90,75.0,Cabernet Sauvignon
Italy,90,60.0,Sangiovese
US,90,46.0,Malbec
Canada,90,70.0,Bordeaux-style Red Blend
Spain,90,26.0,Albariño
Italy,90,60.0,Sangiovese
Italy,90,75.0,Sangiovese
Moldova,90,32.0,White Blend
Italy,90,95.0,Sangiovese
Italy,90,60.0,Sangiovese
Italy,90,70.0,Sangiovese
US,90,20.0,White Blend
France,90,27.0,Rhône-style Red Blend
France,90,20.0,Rhône-style Red Blend
US,90,75.0,Cabernet Sauvignon
US,90,28.0,Sauvignon Blanc
US,90,60.0,Chardonnay
US,90,22.0,Chardonnay
Spain,90,49.0,White Blend
Hungary,90,35.0,Kekfrankos
Italy,90,90.0,Sangiovese
US,90,30.0,Chardonnay
US,90,35.0,Cabernet Sauvignon
US,90,38.0,Rhône-style Red Blend
US,90,22.0,Tempranillo
Italy,90,30.0,Sangiovese
Italy,90,32.0,Red Blend
Italy,90,35.0,Sangiovese
US,87,36.0,Cabernet Sauvignon
US,87,30.0,Zinfandel
US,87,20.0,Cabernet Franc
US,87,32.0,Grenache
Spain,87,18.0,Sparkling Blend
Spain,87,27.0,Tempranillo
US,87,20.0,Sauvignon Blanc
US,87,30.0,Chardonnay
US,87,20.0,Cabernet Sauvignon
US,87,23.0,Cabernet Sauvignon
US,87,22.0,Rhône-style White Blend
Italy,87,75.0,Sangiovese
Italy,87,98.0,Sangiovese
US,87,20.0,Cabernet Sauvignon
US,87,22.0,Chardonnay
US,87,16.0,White Blend
Italy,87,28.0,Vermentino
Spain,87,25.0,Sherry
Italy,87,17.0,Red Blend
US,87,17.0,Riesling
Spain,87,15.0,Tempranillo
Spain,87,16.0,Sherry
Spain,87,15.0,Tempranillo Blend
US,87,38.0,Tempranillo
Spain,87,28.0,Red Blend
Italy,87,52.0,Sangiovese
Italy,87,58.0,Sangiovese
Italy,87,60.0,Sangiovese
Portugal,86,15.0,Rosé
Italy,86,15.0,White Blend
US,86,26.0,Chardonnay
US,86,32.0,Syrah
Portugal,86,10.0,Portuguese Red
Argentina,86,10.0,Sauvignon Blanc
US,86,18.0,Moscato
Portugal,86,12.0,Portuguese White
US,86,35.0,Rosé
US,86,34.0,Aglianico
Argentina,86,23.0,Malbec
South Africa,86,20.0,Sauvignon Blanc
US,86,31.0,Cabernet Sauvignon
US,86,24.0,Viognier
US,86,12.0,Merlot
US,86,18.0,Pinot Noir
France,86,10.0,White Blend
Argentina,86,15.0,Malbec
US,86,24.0,Chardonnay
Argentina,86,14.0,Torrontés
US,86,14.0,Sauvignon Blanc
Portugal,86,15.0,Portuguese Red
US,86,38.0,Primitivo
Portugal,86,13.0,Touriga Nacional
US,86,12.0,Pinot Noir
US,86,32.0,Red Blend
France,86,15.0,Semillon-Sauvignon Blanc
US,86,28.0,Barbera
Portugal,86,30.0,Portuguese Rosé
US,89,49.0,Pinot Noir
Greece,89,17.0,Agiorgitiko
France,89,11.0,Grenache-Syrah
Italy,89,43.0,Sangiovese
France,89,19.0,Red Blend
France,89,28.0,White Blend
Germany,89,26.0,Riesling
US,89,35.0,Chardonnay
US,89,30.0,Bordeaux-style Red Blend
Italy,89,55.0,Cabernet Sauvignon
US,89,46.0,Pinot Noir
US,89,50.0,Pinot Noir
US,89,43.0,Red Blend
Portugal,89,45.0,Syrah
US,89,39.0,Syrah
Italy,89,30.0,Red Blend
Italy,89,45.0,Cabernet Sauvignon
Spain,89,23.0,Red Blend
France,89,15.0,Grenache-Syrah
US,89,65.0,Zinfandel
Chile,89,19.0,Red Blend
US,89,35.0,Syrah
US,89,60.0,Zinfandel
US,89,44.0,Pinot Noir
Spain,89,25.0,Albariño
Italy,89,30.0,Red Blend
Spain,89,12.0,Tempranillo
Spain,89,18.0,Sparkling Blend
US,92,30.0,Chardonnay
Portugal,92,23.0,Portuguese Red
US,92,45.0,Zinfandel
US,92,125.0,Bordeaux-style Red Blend
US,92,98.0,Cabernet Sauvignon
US,92,40.0,Red Blend
Canada,92,17.0,Riesling
US,92,60.0,Chardonnay
Portugal,92,70.0,Portuguese Red
US,92,68.0,Chardonnay
Portugal,92,40.0,Baga
US,92,32.0,Chardonnay
US,92,45.0,Syrah
US,92,66.0,Chardonnay
France,92,29.0,Riesling
France,92,63.0,Riesling
US,92,32.0,Chardonnay
US,92,55.0,Chardonnay
Hungary,92,16.0,Furmint
Italy,92,45.0,Nebbiolo
US,92,20.0,Viognier
Italy,92,50.0,Nebbiolo
France,92,18.0,Bordeaux-style Red Blend
Portugal,92,23.0,Portuguese Red
US,92,32.0,Chardonnay
Chile,92,30.0,Bordeaux-style Red Blend
US,92,35.0,Viognier
US,92,44.0,Chardonnay
US,90,24.0,Cabernet Franc
US,90,20.0,Zinfandel
Germany,90,22.0,Riesling
France,90,50.0,Pinot Noir
France,90,45.0,Pinot Noir
US,90,23.0,Pinot Noir
US,90,49.0,Pinot Noir
Germany,90,17.0,Riesling
US,90,35.0,Carignane
France,90,59.0,Chardonnay
France,90,24.0,Sylvaner
France,90,20.0,White Blend
France,90,20.0,Pinot Blanc
US,90,18.0,Pinot Gris
US,90,42.0,Zinfandel
Italy,90,22.0,Moscato
Greece,90,20.0,Assyrtiko
US,90,48.0,Pinot Noir
US,90,30.0,Chardonnay
US,90,40.0,Cabernet Sauvignon
Spain,90,20.0,Tempranillo
Spain,90,17.0,Tempranillo Blend
US,90,22.0,Merlot
Germany,90,31.0,Riesling
US,90,15.0,Cabernet Sauvignon
US,90,15.0,Cabernet Sauvignon
US,94,62.0,Pinot Noir
US,94,49.0,Pinot Noir
France,94,25.0,Red Blend
US,94,95.0,Cabernet Sauvignon
US,94,55.0,Chardonnay
US,94,48.0,Chardonnay
Italy,94,35.0,Friulano
France,94,40.0,Tannat-Cabernet
US,94,68.0,Pinot Noir
US,94,90.0,Pinot Noir
France,93,25.0,Malbec-Merlot
US,93,60.0,Pinot Noir
Austria,93,21.0,St. Laurent
US,93,125.0,Bordeaux-style Red Blend
US,93,85.0,Cabernet Sauvignon
US,93,60.0,Pinot Noir
Spain,93,64.0,Tempranillo
Austria,93,19.0,Blauburgunder
Austria,93,25.0,Blaufränkisch
US,93,55.0,Syrah
US,93,58.0,Chardonnay
US,93,48.0,Pinot Noir
US,93,40.0,Zinfandel
US,93,60.0,Chardonnay
US,93,120.0,Cabernet Sauvignon
US,93,100.0,Cabernet Sauvignon
US,93,34.0,Zinfandel
Spain,93,91.0,Red Blend
France,93,36.0,Provence red blend
US,91,40.0,Zinfandel
US,91,20.0,Chardonnay
US,91,55.0,Cabernet Sauvignon
Portugal,91,19.0,Portuguese White
Italy,91,26.0,Pinot Grigio
US,91,45.0,Pinot Noir
Germany,91,36.0,Riesling
Germany,91,23.0,Riesling
Germany,91,25.0,Riesling
Germany,91,21.0,Scheurebe
Germany,91,28.0,Riesling
Italy,91,41.0,White Blend
US,91,26.0,Pinot Gris
US,91,28.0,Chardonnay
US,91,38.0,Chardonnay
US,91,44.0,Red Blend
US,91,45.0,Pinot Noir
Germany,91,25.0,Riesling
Germany,91,38.0,Riesling
Germany,91,22.0,Riesling
Germany,91,26.0,Riesling
Germany,91,23.0,Riesling
Germany,91,23.0,Riesling
US,91,50.0,Sauvignon Blanc
Italy,91,21.0,Sauvignon
France,91,25.0,Bordeaux-style Red Blend
Portugal,91,16.0,Portuguese Red
France,91,60.0,Chardonnay
US,90,38.0,Cabernet Sauvignon
Australia,90,20.0,Pinot Noir
Italy,90,75.0,Nebbiolo
Portugal,90,33.0,Portuguese Red
Italy,90,75.0,Nebbiolo
US,90,64.0,Bordeaux-style Red Blend
US,90,18.0,Gewürztraminer
Italy,90,75.0,Nebbiolo
Italy,90,30.0,Nebbiolo
Italy,90,42.0,Nebbiolo
Italy,90,18.0,Barbera
Spain,90,20.0,Albariño
US,90,40.0,Pinot Noir
France,90,25.0,Malbec
Portugal,90,19.0,Portuguese White
US,90,18.0,Gewürztraminer
US,90,30.0,Rhône-style White Blend
France,90,13.0,Red Blend
France,90,45.0,Chardonnay
Germany,90,30.0,Riesling
US,90,111.0,Cabernet Sauvignon
Italy,90,35.0,Barbera
US,90,32.0,Tempranillo
Italy,90,88.0,Nebbiolo
US,90,57.0,Pinot Noir
US,90,34.0,Grenache
US,90,24.0,Chardonnay
Italy,90,45.0,Nebbiolo
Italy,90,74.0,Nebbiolo
Australia,88,42.0,Pinot Noir
France,88,27.0,Sauvignon Blanc
Argentina,88,25.0,Malbec
France,88,35.0,Sauvignon Blanc
US,88,45.0,Meritage
US,88,30.0,Grenache
France,88,26.0,Bordeaux-style Red Blend
US,88,39.0,Chardonnay
France,88,25.0,Sauvignon Blanc
Italy,88,80.0,Nebbiolo
US,88,55.0,Pinot Noir
US,88,22.0,Gewürztraminer
France,88,28.0,Sauvignon Blanc
US,88,25.0,Pinot Noir
US,88,48.0,Pinot Noir
US,88,19.0,Viognier
Croatia,88,19.0,White Blend
Italy,88,77.0,Nebbiolo
US,88,18.0,Chardonnay
France,88,25.0,Bordeaux-style White Blend
France,88,18.0,Bordeaux-style White Blend
US,88,18.0,Merlot
US,88,65.0,Pinot Noir
US,88,25.0,Chardonnay
US,88,48.0,Pinot Noir
France,88,20.0,Pinot Noir
Spain,88,11.0,Tempranillo
US,90,55.0,Cabernet Sauvignon
Spain,90,35.0,Sparkling Blend
Bulgaria,90,26.0,Mavrud
US,90,46.0,Chardonnay
US,90,55.0,Pinot Noir
US,90,30.0,Pinot Noir
US,90,25.0,Cabernet Franc
US,90,27.0,Pinot Noir
US,90,28.0,Syrah
Italy,90,62.0,Sangiovese
US,90,48.0,Chardonnay
Italy,90,80.0,Sangiovese
US,90,36.0,Sauvignon Blanc
US,90,48.0,Red Blend
US,90,60.0,Chardonnay
Canada,90,24.0,Riesling
US,90,42.0,Cabernet Franc
US,90,45.0,Sangiovese
US,90,39.0,Zinfandel
US,90,25.0,Sauvignon Blanc
US,90,40.0,Bordeaux-style Red Blend
Slovenia,90,40.0,Ribolla Gialla
US,90,40.0,Charbono
Italy,90,60.0,Sangiovese
Canada,90,19.0,Pinot Gris
US,90,85.0,Cabernet Sauvignon
Spain,90,26.0,Palomino
Italy,90,25.0,Red Blend
US,90,15.0,Tempranillo
France,90,24.0,Rosé
US,86,18.0,Red Blend
South Africa,86,35.0,Sauvignon Blanc
Argentina,86,26.0,Torrontés
Argentina,86,39.0,Malbec-Cabernet Sauvignon
South Africa,86,11.0,Sauvignon Blanc
US,85,15.0,Red Blend
France,85,9.0,Rosé
France,85,16.0,Red Blend
US,85,15.0,Cabernet Sauvignon
France,85,18.0,Pinot Noir-Gamay
Italy,85,9.0,Pinot Nero
Portugal,85,11.0,Portuguese Red
France,85,12.0,Rosé
France,85,14.0,Malbec
South Africa,85,10.0,Sauvignon Blanc
US,85,12.0,Cabernet Sauvignon
US,85,18.0,Merlot
Argentina,85,14.0,Malbec
Italy,85,10.0,Garganega
Argentina,85,13.0,White Blend
Portugal,85,10.0,Portuguese Red
South Africa,85,20.0,Chardonnay
Argentina,85,30.0,Bordeaux-style Red Blend
Spain,85,50.0,Red Blend
South Africa,85,16.0,Sauvignon Blanc
France,85,11.0,Rhône-style Red Blend
Argentina,85,15.0,Sparkling Blend
US,85,65.0,Cabernet Sauvignon
Bulgaria,85,9.0,Chardonnay
Israel,85,30.0,Chardonnay
Spain,89,26.0,Red Blend
US,89,20.0,Chardonnay
US,89,25.0,Riesling
US,89,36.0,Chardonnay
France,89,14.0,Gros Manseng
US,89,36.0,Tempranillo
Italy,89,23.0,Red Blend
US,89,30.0,Petit Verdot
Italy,89,28.0,Red Blend
Chile,89,20.0,Cabernet Sauvignon
US,89,36.0,G-S-M
US,89,45.0,Pinot Noir
US,89,20.0,Pinot Gris
Chile,89,20.0,Pinot Noir
Italy,89,45.0,Red Blend
Chile,89,20.0,Syrah
US,89,28.0,Pinot Noir
US,89,42.0,Syrah
Italy,89,110.0,Cabernet Franc
Chile,89,25.0,Cabernet Sauvignon
US,89,14.0,Riesling
US,89,18.0,Rosé
US,89,39.0,Red Blend
Italy,89,90.0,Red Blend
Portugal,89,18.0,Portuguese Red
Portugal,89,7.0,Portuguese Red
Portugal,89,17.0,Portuguese Red
Chile,89,17.0,Sauvignon Blanc
France,89,20.0,White Blend
Italy,87,50.0,Sangiovese
Italy,87,87.0,Sangiovese
US,87,28.0,Cabernet Sauvignon
US,87,36.0,Bordeaux-style Red Blend
France,87,35.0,Bordeaux-style Red Blend
France,87,30.0,Bordeaux-style Red Blend
US,87,28.0,Bordeaux-style Red Blend
Italy,87,20.0,Red Blend
US,87,18.0,Primitivo
US,87,32.0,Red Blend
US,87,28.0,Merlot
US,87,26.0,Syrah
US,87,32.0,Sauvignon Blanc
US,87,11.0,Cabernet Sauvignon
US,87,26.0,Rhône-style White Blend
US,87,19.0,Syrah
US,87,22.0,Red Blend
US,87,28.0,Bordeaux-style Red Blend
US,87,28.0,Pinot Blanc
US,87,20.0,Zinfandel
US,87,25.0,Red Blend
US,87,16.0,Chardonnay
US,87,18.0,Gewürztraminer
US,87,25.0,Cabernet Sauvignon
France,87,10.0,Bordeaux-style Red Blend
Italy,90,22.0,Moscato
Greece,90,20.0,Assyrtiko
US,90,48.0,Pinot Noir
US,90,30.0,Chardonnay
France,90,59.0,Chardonnay
France,90,24.0,Sylvaner
France,90,20.0,White Blend
France,90,20.0,Pinot Blanc
US,90,18.0,Pinot Gris
US,90,70.0,Cabernet Sauvignon
US,90,25.0,Riesling
Italy,90,36.0,Nerello Mascalese
Australia,90,65.0,Shiraz
US,90,42.0,Merlot
US,90,50.0,Cabernet Sauvignon
US,90,28.0,Negroamaro
US,90,22.0,Mourvèdre
US,90,26.0,Barbera
US,90,80.0,Red Blend
US,90,28.0,Tempranillo
Chile,90,24.0,Red Blend
Spain,90,21.0,Tempranillo Blend
US,90,50.0,Rhône-style Red Blend
US,90,40.0,Zinfandel
US,90,22.0,Syrah
Germany,90,30.0,Riesling
US,90,50.0,Cabernet Franc
US,90,55.0,Cabernet Sauvignon
Spain,90,35.0,Sparkling Blend
US,90,37.0,Champagne Blend
US,90,42.0,Merlot
Spain,90,25.0,Sparkling Blend
US,90,60.0,Cabernet Sauvignon
US,90,27.0,Pinot Noir
France,90,45.0,Chardonnay
France,90,20.0,Romorantin
US,90,48.0,Pinot Noir
Canada,90,38.0,Syrah
Bulgaria,90,28.0,Syrah
France,90,80.0,Pinot Noir
France,90,19.0,Sauvignon Blanc
US,90,45.0,Pinot Noir
Italy,90,56.0,Sangiovese
France,90,24.0,Rosé
Spain,90,36.0,Godello
Spain,90,26.0,Palomino
Italy,90,25.0,Red Blend
US,90,15.0,Tempranillo
Italy,90,22.0,Sangiovese
Italy,90,20.0,Red Blend
Spain,90,30.0,Tempranillo
Italy,90,30.0,Red Blend
Italy,90,18.0,Red Blend
Italy,90,22.0,Sangiovese
Italy,90,28.0,Red Blend
US,90,40.0,Cabernet Sauvignon
US,92,35.0,Viognier
US,92,44.0,Chardonnay
US,92,32.0,Chardonnay
Chile,92,30.0,Bordeaux-style Red Blend
Italy,92,113.0,Nebbiolo
